-0.23020,-0.36510,-0.03670,0.14203,-0.15746,-0.46778
-0.23280,-0.36490,-0.03700,0.14464,-0.16094,-0.46805
-0.23530,-0.36480,-0.03740,0.14731,-0.16438,-0.46800
-0.23780,-0.36470,-0.03780,0.14997,-0.16783,-0.46793
-0.24030,-0.36440,-0.03830,0.15246,-0.17107,-0.46877
-0.24270,-0.36410,-0.03870,0.15495,-0.17432,-0.46961
-0.24520,-0.36400,-0.03920,0.15771,-0.17765,-0.46888
-0.24770,-0.36400,-0.03980,0.16046,-0.18098,-0.46814
-0.25030,-0.36390,-0.04020,0.16309,-0.18428,-0.46801
-0.25280,-0.36390,-0.04070,0.16574,-0.18759,-0.46788
-0.25530,-0.36400,-0.04120,0.16852,-0.19049,-0.46627
-0.25780,-0.36410,-0.04170,0.17131,-0.19340,-0.46465
-0.26050,-0.36420,-0.04220,0.17409,-0.19610,-0.46287
-0.26310,-0.36420,-0.04260,0.17688,-0.19880,-0.46108
-0.26560,-0.36410,-0.04320,0.17969,-0.20192,-0.45986
-0.26810,-0.36400,-0.04370,0.18251,-0.20503,-0.45865
-0.27070,-0.36380,-0.04430,0.18530,-0.20831,-0.45787
-0.27320,-0.36370,-0.04480,0.18809,-0.21159,-0.45708
-0.27570,-0.36350,-0.04530,0.19091,-0.21479,-0.45606
-0.27830,-0.36340,-0.04590,0.19374,-0.21798,-0.45501
-0.28080,-0.36320,-0.04640,0.19653,-0.22128,-0.45436
-0.28330,-0.36300,-0.04700,0.19932,-0.22458,-0.45370
-0.28580,-0.36270,-0.04750,0.20211,-0.22781,-0.45314
-0.28830,-0.36250,-0.04820,0.20490,-0.23106,-0.45256
-0.29080,-0.36220,-0.04880,0.20753,-0.23439,-0.45257
-0.29330,-0.36190,-0.04930,0.21017,-0.23772,-0.45257
-0.29570,-0.36160,-0.05000,0.21281,-0.24105,-0.45256
-0.29820,-0.36130,-0.05060,0.21546,-0.24438,-0.45255
-0.30070,-0.36090,-0.05110,0.21810,-0.24766,-0.45246
-0.30310,-0.36050,-0.05170,0.22075,-0.25095,-0.45238
-0.30570,-0.36020,-0.05220,0.22362,-0.25416,-0.45140
-0.30810,-0.36000,-0.05270,0.22649,-0.25736,-0.45041
-0.31080,-0.35980,-0.05320,0.22940,-0.26054,-0.44934
-0.31320,-0.35960,-0.05370,0.23232,-0.26373,-0.44825
-0.31580,-0.35930,-0.05430,0.23519,-0.26700,-0.44735
-0.31830,-0.35910,-0.05470,0.23808,-0.27028,-0.44645
-0.32080,-0.35880,-0.05530,0.24092,-0.27362,-0.44573
-0.32320,-0.35850,-0.05570,0.24376,-0.27696,-0.44501
-0.32570,-0.35820,-0.05630,0.24656,-0.28035,-0.44447
